com,com_name,nombre_pistes_cyclables
85092,Fontenay-le-Comte,154
14437,Mondeville,154
12202,Rodez,153
29233,Quimperlé,152
77495,Vert-Saint-Denis,152
56243,Séné,152
31157,Cugnaux,151
69034,Caluire-et-Cuire,151
64122,Biarritz,151
44132,Pornichet,150
93001,Aubervilliers,150
13212,Marseille 12e Arrondissement,150
92064,Saint-Cloud,149
91272,Gif-sur-Yvette,149
83129,Six-Fours-les-Plages,149
67152,Geispolsheim,149
40046,Biscarrosse,148
03190,Moulins,148
78490,Plaisir,148
76108,Bois-Guillaume,148
33199,Gujan-Mestras,147
59636,Wambrechies,147
84092,Pontet,146
63124,Cournon-d'Auvergne,145
78418,Montesson,145
40279,Saint-Paul-lès-Dax,145
91161,Chilly-Mazarin,144
68154,Illzach,144
35047,Bruz,144
63032,Beaumont,144
52121,Chaumont,143
02722,Soissons,143
59646,Wasquehal,143
04070,Digne-les-Bains,143
69264,Villefranche-sur-Saône,143
63300,Riom,143
85234,Saint-Jean-de-Monts,142
59286,Haubourdin,142
59155,Coudekerque-Branche,142
42184,Riorges,141
59527,Saint-André-lez-Lille,141
22106,Langueux,141
40065,Capbreton,141
91661,Villebon-sur-Yvette,141
67204,Hœnheim,141
84031,Carpentras,141
67130,Erstein,141
83061,Fréjus,140
69273,Corbas,140
78621,Trappes,139
92007,Bagneux,139
03185,Montluçon,139
92032,Fontenay-aux-Roses,139
57751,Woippy,139
27681,Vernon,139
60612,Senlis,139
94076,Villejuif,137
50502,Saint-Lô,137
65440,Tarbes,137
29075,Guipavas,136
73011,Albertville,136
06161,Villeneuve-Loubet,136
78208,Élancourt,136
74112,Epagny Metz-Tessy,135
06085,Mougins,135
54528,Toul,135
93059,Pierrefitte-sur-Seine,134
85003,Aizenay,134
44069,Guérande,133
92075,Vanves,133
64348,Lons,133
45089,Chécy,133
44154,Saint-Brevin-les-Pins,133
69091,Givors,132
45208,Montargis,132
37233,Saint-Pierre-des-Corps,132
85226,Saint-Hilaire-de-Riez,132
26252,Portes-lès-Valence,132
93073,Tremblay-en-France,132
38158,Eybens,131
78005,Achères,131
38485,Seyssinet-Pariset,131
44055,Baule-Escoublac,130
06079,Mandelieu-la-Napoule,130
34270,Saint-Jean-de-Védas,130
06084,Mouans-Sartoux,130
94042,Joinville-le-Pont,130
69149,Oullins,129
95176,Cormeilles-en-Parisis,129
13201,Marseille 1er Arrondissement,128
91122,Bures-sur-Yvette,128
92019,Châtenay-Malabry,128
91421,Montgeron,128
93070,Saint-Ouen-sur-Seine,128
59508,Roncq,127
06027,Cagnes-sur-Mer,127
11069,Carcassonne,127
72003,Allonnes,127
85294,Tranche-sur-Mer,127
94052,Nogent-sur-Marne,126
88196,Gérardmer,126
31433,Portet-sur-Garonne,126
31056,Beauzelle,126
76322,Grand-Quevilly,126
67300,Molsheim,126
59279,Halluin,126
85047,Challans,126
31561,Union,126
78361,Mantes-la-Jolie,125
45169,Ingré,125
38169,Fontaine,125
14341,Ifs,125
44047,Couëron,124
11170,Gruissan,124
91692,Ulis,124
69244,Tassin-la-Demi-Lune,124
59650,Wattrelos,124
03310,Vichy,124
07281,Saint-Péray,124
